# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-202837.log
0|10060|INIT |DLL_PROCESS_ATTACH pid=14568
3|10060|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
6|10060|CALL |PDUConstruct|opt='' tag=00000000
67|10060|RET  |PDUConstruct|err=0
67|10060|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
69|10060|RET  |PDURegisterEventCallback|err=0
71|10060|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
73|10060|RET  |PDURegisterEventCallback|err=0
74|10060|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
83|10060|RET  |PDUIoCtl|err=0
31894|7316|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
31894|7316|RET  |PDURegisterEventCallback|err=0
31895|7316|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
31895|7316|RET  |PDURegisterEventCallback|err=0
31896|7316|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
31896|7316|RET  |PDUIoCtl|err=0
31897|7316|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
31897|7316|RET  |PDUIoCtl|err=0
31969|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
31969|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
31970|7316|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8001 size=0
31971|7316|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000001
31972|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1 hCop=0x00000000 ts=0
31973|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
31974|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1 hCop=0x00000000 ts=0
31975|7316|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8001 size=0
31975|7316|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000002
31976|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x2 hCop=0x00000000 ts=0
31977|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
31978|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x2 hCop=0x00000000 ts=0
31979|7316|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
31980|7316|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000003
31980|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x3 hCop=0x0158839C ts=0
31995|7316|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000003 cb=00FA8F20
31996|7316|RET  |PDURegisterEventCallback|err=0
31996|7316|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000004 cb=00FA8F40
31997|7316|RET  |PDURegisterEventCallback|err=0
31997|7316|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0001
31998|7316|RET  |PDUIoCtl|err=0
31998|7316|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0000
31998|7316|RET  |PDUIoCtl|err=0
31999|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
32000|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
32000|7316|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8001 size=0
32002|7316|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000004
32003|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0x4 hCop=0x00000000 ts=0
32004|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
32005|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0x4 hCop=0x00000000 ts=0
32006|7316|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000004 CoPType=0x8001 size=0
32006|7316|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000005
32007|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0x5 hCop=0x00000000 ts=0
32008|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
32009|7316|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0x5 hCop=0x00000000 ts=0
32010|7316|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8004 size=0
