# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-234011.log
0|17804|INIT |DLL_PROCESS_ATTACH pid=12068
9|17804|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
10|17804|CALL |PDUConstruct|opt='' tag=00000000
104|17804|RET  |PDUConstruct|err=0
106|17804|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
110|17804|RET  |PDURegisterEventCallback|err=0
110|17804|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
110|17804|RET  |PDURegisterEventCallback|err=0
110|17804|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
119|17804|RET  |PDUIoCtl|err=0
19211|16840|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
19211|16840|RET  |PDURegisterEventCallback|err=0
19211|16840|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
19212|16840|RET  |PDURegisterEventCallback|err=0
19212|16840|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
19213|16840|RET  |PDUIoCtl|err=0
19213|16840|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
19213|16840|RET  |PDUIoCtl|err=0
19287|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
19288|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
19289|16840|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8001 size=0
19289|16840|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000001
19290|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1 hCop=0x00000000 ts=0
19291|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
19292|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1 hCop=0x00000000 ts=0
19293|16840|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8001 size=0
19294|16840|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000002
19295|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x2 hCop=0x00000000 ts=0
19296|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
19297|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x2 hCop=0x00000000 ts=0
19298|16840|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
19300|16840|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000003
19300|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x3 hCop=0x0158839C ts=0
19405|16840|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000003 cb=00FA8F20
19406|16840|RET  |PDURegisterEventCallback|err=0
19406|16840|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000004 cb=00FA8F40
19407|16840|RET  |PDURegisterEventCallback|err=0
19407|16840|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0001
19408|16840|RET  |PDUIoCtl|err=0
19408|16840|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0000
19409|16840|RET  |PDUIoCtl|err=0
19409|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
19410|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
19411|16840|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8001 size=0
19412|16840|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000004
19413|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0x4 hCop=0x00000000 ts=0
19414|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
19415|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0x4 hCop=0x00000000 ts=0
19415|16840|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000004 CoPType=0x8001 size=0
19417|16840|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000005
19417|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0x5 hCop=0x00000000 ts=0
19418|16840|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
