# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-200514.log
0|17060|INIT |DLL_PROCESS_ATTACH pid=6352
7|17060|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
7|17060|CALL |PDUConstruct|opt='' tag=00000000
71|17060|RET  |PDUConstruct|err=0
72|17060|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
75|17060|RET  |PDURegisterEventCallback|err=0
76|17060|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
77|17060|RET  |PDURegisterEventCallback|err=0
77|17060|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
86|17060|RET  |PDUIoCtl|err=0
21832|18012|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
21833|18012|RET  |PDURegisterEventCallback|err=0
21833|18012|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
21834|18012|RET  |PDURegisterEventCallback|err=0
21835|18012|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
21835|18012|RET  |PDUIoCtl|err=0
21835|18012|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
21836|18012|RET  |PDUIoCtl|err=0
21909|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
21910|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
21910|18012|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8001 size=0
21911|18012|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000001
21912|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1 hCop=0x00000000 ts=0
21913|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
21914|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1 hCop=0x00000000 ts=0
21915|18012|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8001 size=0
21916|18012|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000002
21916|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x2 hCop=0x00000000 ts=0
21917|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
21918|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x2 hCop=0x00000000 ts=0
21919|18012|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
21921|18012|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000003
21922|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x3 hCop=0x0158839C ts=0
21936|18012|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000003 cb=00FA8F20
21938|18012|RET  |PDURegisterEventCallback|err=0
21938|18012|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000004 cb=00FA8F40
21939|18012|RET  |PDURegisterEventCallback|err=0
21939|18012|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0001
21940|18012|RET  |PDUIoCtl|err=0
21940|18012|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0000
21941|18012|RET  |PDUIoCtl|err=0
21941|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
21942|18012|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
21943|18012|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8001 size=0
21944|18012|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000004
