# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-175608.log
0|12408|INIT |DLL_PROCESS_ATTACH pid=2164
4|12408|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
6|12408|CALL |PDUConstruct|opt='' tag=00000000
63|12408|RET  |PDUConstruct|err=0
64|12408|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
66|12408|CB   |register|slot=0 real=00FA1E00 tramp=DISABLED
66|12408|RET  |PDURegisterEventCallback|err=0
66|12408|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
66|12408|CB   |register|slot=1 real=00FA1E00 tramp=DISABLED
66|12408|RET  |PDURegisterEventCallback|err=0
66|12408|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
80|12408|RET  |PDUIoCtl|err=0
25643|14588|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
25643|14588|CB   |register|slot=2 real=00FA8F60 tramp=DISABLED
25644|14588|RET  |PDURegisterEventCallback|err=0
25644|14588|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
25645|14588|CB   |register|slot=3 real=00FA8F80 tramp=DISABLED
25646|14588|RET  |PDURegisterEventCallback|err=0
25646|14588|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
25647|14588|RET  |PDUIoCtl|err=0
25647|14588|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
25647|14588|RET  |PDUIoCtl|err=0
25721|14588|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0A5FCDC8
25723|14588|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0A5FCF18
25724|14588|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8001 size=0
25725|14588|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000001
25725|14588|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=0A5FCF78
25727|14588|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0A5FCE18
25728|14588|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=0A5FCD88
25729|14588|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8001 size=0
25729|14588|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000002
