# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-173927.log
0|16624|INIT |DLL_PROCESS_ATTACH pid=7984
0|16624|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
0|16624|CALL |PDUConstruct|opt='' tag=00000000
69|16624|RET  |PDUConstruct|err=0
69|16624|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
69|16624|CB   |register|slot=0 real=00FA1E00 tramp=DISABLED
69|16624|RET  |PDURegisterEventCallback|err=0
69|16624|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
69|16624|CB   |register|slot=1 real=00FA1E00 tramp=DISABLED
69|16624|RET  |PDURegisterEventCallback|err=0
69|16624|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
84|16624|RET  |PDUIoCtl|err=0
35932|17832|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
35933|17832|CB   |register|slot=2 real=00FA8F60 tramp=DISABLED
35933|17832|RET  |PDURegisterEventCallback|err=0
35934|17832|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
35934|17832|CB   |register|slot=3 real=00FA8F80 tramp=DISABLED
35935|17832|RET  |PDURegisterEventCallback|err=0
35935|17832|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
35936|17832|RET  |PDUIoCtl|err=0
35936|17832|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
35937|17832|RET  |PDUIoCtl|err=0
36017|17832|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=00A52960
36018|17832|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=00A52A90
36019|17832|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8001 size=0
36019|17832|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000001
36020|17832|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=00A52A90
36021|17832|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=00A52A00
36022|17832|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=00A528F0
