# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-015619.log
0|17016|INIT |DLL_PROCESS_ATTACH pid=10612
4|17016|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
7|17016|CALL |PDUConstruct|opt='' tag=00000000
61|17016|RET  |PDUConstruct|err=0
62|17016|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
63|17016|CB   |register|slot=0 real=00FA1E00 tramp=DISABLED
63|17016|RET  |PDURegisterEventCallback|err=0
63|17016|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
63|17016|CB   |register|slot=1 real=00FA1E00 tramp=DISABLED
63|17016|RET  |PDURegisterEventCallback|err=0
69|17016|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
77|17016|RET  |PDUIoCtl|err=0
22641|13708|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
22641|13708|CB   |register|slot=2 real=00FA8F60 tramp=DISABLED
22642|13708|RET  |PDURegisterEventCallback|err=0
22642|13708|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
22643|13708|CB   |register|slot=3 real=00FA8F80 tramp=DISABLED
22644|13708|RET  |PDURegisterEventCallback|err=0
22644|13708|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
22645|13708|RET  |PDUIoCtl|err=0
22645|13708|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
22645|13708|RET  |PDUIoCtl|err=0
22719|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=09A807D0
22721|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=09A80830
22721|13708|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8001 size=0
22722|13708|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000001
22722|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=09A80830
22723|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=09A807A0
22725|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=09A80700
22726|13708|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8001 size=0
22727|13708|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000002
22728|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x2 pCoPTag=00000000 ts=0 pData=09A806D0
22729|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=09A80790
22730|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x2 pCoPTag=00000000 ts=0 pData=09A806B0
22731|13708|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22732|13708|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000003
22732|13708|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x3 pCoPTag=0158839C ts=0 pData=09B840F8
22745|13708|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000003 cb=00FA8F20
22746|13708|CB   |register|slot=4 real=00FA8F20 tramp=DISABLED
22747|13708|RET  |PDURegisterEventCallback|err=0
22747|13708|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000004 cb=00FA8F40
22748|13708|CB   |register|slot=5 real=00FA8F40 tramp=DISABLED
