# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-014044.log
0|17376|INIT |DLL_PROCESS_ATTACH pid=13356
1|17376|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
1|17376|CALL |PDUConstruct|opt='' tag=00000000
70|17376|RET  |PDUConstruct|err=0
72|17376|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
75|17376|CB   |register|slot=0 real=00FA1E00 tramp=6CED14C0
75|17376|RET  |PDURegisterEventCallback|err=0
75|17376|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
75|17376|CB   |register|slot=1 real=00FA1E00 tramp=6CED14E0
79|17376|RET  |PDURegisterEventCallback|err=0
80|17376|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
85|17376|RET  |PDUIoCtl|err=0
25312|1856|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
25312|1856|CB   |register|slot=2 real=00FA8F60 tramp=6CED1500
25313|1856|RET  |PDURegisterEventCallback|err=0
25313|1856|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
25314|1856|CB   |register|slot=3 real=00FA8F80 tramp=6CED1520
25314|1856|RET  |PDURegisterEventCallback|err=0
25315|1856|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
25315|1856|RET  |PDUIoCtl|err=0
25316|1856|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
25316|1856|RET  |PDUIoCtl|err=0
25390|1856|CB   |fired|slot=2 hMod=0x00000801 hCLL=0x00000001 pData=00000001
25390|1856|HEX  |CB-DATA|len=64|25391|1856|ERR  |CB|data fault pData=00000001
