# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-014723.log
0|6524|INIT |DLL_PROCESS_ATTACH pid=14072
3|6524|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
20327|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 hCop=0x5 pCoPTag=00000000 ts=0 pData=0A5F51D8
20329|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8004 size=0
20329|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000006
20330|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0x6 pCoPTag=01588B04 ts=0 pData=0A524358
20415|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000005 cb=00FA8EE0
20416|9572|CB   |register|slot=6 real=00FA8EE0 tramp=DISABLED
20416|9572|RET  |PDURegisterEventCallback|err=0
20417|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000006 cb=00FA8F00
20417|9572|CB   |register|slot=7 real=00FA8F00 tramp=DISABLED
20418|9572|RET  |PDURegisterEventCallback|err=0
20418|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0001
20419|9572|RET  |PDUIoCtl|err=0
20419|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0000
20420|9572|RET  |PDUIoCtl|err=0
20492|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0217B570
20493|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0217B540
20494|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8001 size=0
20495|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000007
20495|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x7 pCoPTag=00000000 ts=0 pData=0217B3F0
20496|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0217B5A0
20497|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x7 pCoPTag=00000000 ts=0 pData=0217B5B0
20498|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8001 size=0
20498|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000008
20499|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0x8 pCoPTag=00000000 ts=0 pData=0217B440
20499|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0217B540
