# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-234528.log
0|3416|INIT |DLL_PROCESS_ATTACH pid=6440
10|3416|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
22534|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0001
22536|17492|RET  |PDUIoCtl|err=0
22536|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0000
22536|17492|RET  |PDUIoCtl|err=0
22611|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
22612|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
22613|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8001 size=0
22613|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000007
22614|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x7 hCop=0x00000000 ts=0
22615|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
22616|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x7 hCop=0x00000000 ts=0
22617|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8001 size=0
22618|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000008
22618|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x8 hCop=0x00000000 ts=0
22619|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0xFFFFFFFF hCop=0x00000000 ts=0
22620|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x8 hCop=0x00000000 ts=0
22621|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
22622|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000009
22623|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x9 hCop=0x0158926C ts=0
22630|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
22631|17492|RET  |PDUIoCtl|err=0
22631|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
22631|17492|RET  |PDUIoCtl|err=0
22632|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0001
22632|17492|RET  |PDUIoCtl|err=0
22632|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0000
22633|17492|RET  |PDUIoCtl|err=0
22633|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0001
22633|17492|RET  |PDUIoCtl|err=0
22633|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0000
22634|17492|RET  |PDUIoCtl|err=0
22641|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22649|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000A
22649|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xA hCop=0x0158839C ts=0
22650|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xA hCop=0x0158839C ts=0
22650|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22651|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000B
22651|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xB hCop=0x015883A0 ts=0
22652|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xB hCop=0x015883A0 ts=0
22653|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x3 hCop=0x0158839C ts=0
22653|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8003 size=0
22654|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000C
22654|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xC hCop=0x01588B04 ts=0
22655|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xC hCop=0x01588B04 ts=0
22655|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000004 CoPType=0x8003 size=0
22656|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000D
22656|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xD hCop=0x01588B08 ts=0
22657|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xD hCop=0x01588B08 ts=0
22657|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0x6 hCop=0x01588B04 ts=0
22660|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
22666|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000E
22666|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0xE hCop=0x0158926C ts=0
22667|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0xE hCop=0x0158926C ts=0
22668|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
22668|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000F
22669|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0xF hCop=0x01589270 ts=0
22669|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0xF hCop=0x01589270 ts=0
22670|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x9 hCop=0x0158926C ts=0
22682|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
22683|17492|RET  |PDUIoCtl|err=0
22683|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
22683|17492|RET  |PDUIoCtl|err=0
22686|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0001
22688|17492|RET  |PDUIoCtl|err=0
22688|17492|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0000
22689|17492|RET  |PDUIoCtl|err=0
22698|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22698|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000010
22699|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x10 hCop=0x0158839C ts=0
22700|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x10 hCop=0x0158839C ts=0
22701|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22702|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000011
22702|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x11 hCop=0x015883A0 ts=0
22703|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x11 hCop=0x015883A0 ts=0
22704|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22705|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000012
22706|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x12 hCop=0x0158839C ts=0
22718|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22718|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000013
22719|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x13 hCop=0x0158839C ts=0
22720|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x13 hCop=0x0158839C ts=0
22721|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22722|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000014
22722|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x14 hCop=0x015883A0 ts=0
22723|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x14 hCop=0x015883A0 ts=0
22724|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x12 hCop=0x0158839C ts=0
22725|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22726|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000015
22726|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x15 hCop=0x0158839C ts=0
22738|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22739|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000016
22739|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x16 hCop=0x0158839C ts=0
22740|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x16 hCop=0x0158839C ts=0
22741|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22742|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000017
22742|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x17 hCop=0x015883A0 ts=0
22743|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x17 hCop=0x015883A0 ts=0
22744|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x15 hCop=0x0158839C ts=0
22745|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22746|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000018
22747|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x18 hCop=0x0158839C ts=0
22759|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22759|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000019
22760|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x19 hCop=0x0158839C ts=0
22761|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x19 hCop=0x0158839C ts=0
22762|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22763|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001A
22763|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1A hCop=0x015883A0 ts=0
22764|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1A hCop=0x015883A0 ts=0
22765|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x18 hCop=0x0158839C ts=0
22765|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22766|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001B
22767|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1B hCop=0x0158839C ts=0
22782|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22783|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001C
22783|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1C hCop=0x0158839C ts=0
22784|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1C hCop=0x0158839C ts=0
22785|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22785|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001D
22786|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1D hCop=0x015883A0 ts=0
22787|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1D hCop=0x015883A0 ts=0
22787|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1B hCop=0x0158839C ts=0
22788|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22789|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001E
22790|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1E hCop=0x0158839C ts=0
22804|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22804|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001F
22805|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1F hCop=0x0158839C ts=0
22806|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1F hCop=0x0158839C ts=0
22806|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22807|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000020
22807|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x20 hCop=0x015883A0 ts=0
22808|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x20 hCop=0x015883A0 ts=0
